sehir,semt,ev_tipi,oda_sayisi,net_metrekare,brut_metrekare,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,isitma_tipi,otopark,site_ici,esyali_durum,fiyat_tl
Eskişehir,Arnavutköy,Rezidans,2+1,240,268,26-30,11,2,3,Yok,Doğalgaz,Kapalı Otopark,Evet,Eşyalı,1383092
Gaziantep,Şişli,Villa,2+1,476,607,11-15,Bahçe Katı,3,5,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,3961182
Ankara,Zeytinburnu,Daire,2+1,118,152,30+,11,13,5,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,639985
Eskişehir,Arnavutköy,Rezidans,4+1,229,269,26-30,6,4,2,Yok,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,581595
Şanlıurfa,Çatalca,Müstakil Ev,4+2,149,168,0-5,Bahçe Katı,2,4,Var,Doğalgaz,Yok,Evet,Eşyasız,771565
Diyarbakır,Çatalca,Tripleks,4+2,300,374,6-10,15,14,1,Yok,Soba,Açık Otopark,Hayır,Eşyalı,1694481
Konya,Kartal,Müstakil Ev,1+1,295,346,26-30,Bahçe Katı,2,1,Yok,Merkezi,Yok,Evet,Eşyasız,721944
Eskişehir,Küçükçekmece,Daire,1+0,66,75,6-10,13,19,2,Var,Soba,Yok,Evet,Eşyalı,313673
Şanlıurfa,Küçükçekmece,Daire,4+1,194,251,6-10,9,9,2,Var,Yerden Isıtma,Var,Evet,Eşyalı,684643
Kayseri,Ataşehir,Daire,2+1,86,95,26-30,7,17,1,Var,Klima,Açık Otopark,Hayır,Yarı Eşyalı,266043
Antalya,Küçükçekmece,Daire,4+1,169,207,0-5,1,16,4,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,3294907
Ankara,Ataşehir,Tripleks,2+1,166,186,21-25,11,19,5,Yok,Klima,Kapalı Otopark,Hayır,Yarı Eşyalı,1350325
Diyarbakır,Kadıköy,Rezidans,3+1,190,226,6-10,7,11,4,Yok,Klima,Var,Hayır,Eşyasız,678660
İzmir,Silivri,Dubleks,1+1,173,219,0-5,7,4,3,Var,Soba,Var,Hayır,Yarı Eşyalı,1611549
Eskişehir,Bakırköy,Rezidans,1+0,153,186,11-15,2,19,5,Var,Kombi,Açık Otopark,Evet,Eşyalı,811678
Ankara,Maltepe,Tripleks,3+1,259,328,30+,14,20,5,Var,Soba,Kapalı Otopark,Evet,Eşyalı,1419024
Şanlıurfa,Ataşehir,Müstakil Ev,1+0,166,211,21-25,Bahçe Katı,3,4,Var,Kombi,Var,Evet,Yarı Eşyalı,613192
Konya,Ataşehir,Villa,5+1,359,446,30+,Bahçe Katı,3,5,Var,Doğalgaz,Yok,Evet,Yarı Eşyalı,801878
Konya,Silivri,Dubleks,5+2,305,362,11-15,4,17,1,Yok,Klima,Var,Hayır,Yarı Eşyalı,1961394
Eskişehir,Pendik,Daire,3+1,125,162,0-5,1,7,3,Var,Kombi,Kapalı Otopark,Hayır,Eşyasız,474040
Gaziantep,Şişli,Villa,4+2,472,585,21-25,Bahçe Katı,3,3,Var,Klima,Var,Hayır,Eşyalı,2387535
Adana,Avcılar,Dubleks,4+2,331,406,11-15,2,13,1,Yok,Kombi,Açık Otopark,Hayır,Eşyalı,1793560
Gaziantep,Avcılar,Dubleks,1+1,251,319,26-30,6,8,3,Var,Doğalgaz,Var,Evet,Eşyasız,1018319
Eskişehir,Üsküdar,Villa,1+1,274,315,6-10,Bahçe Katı,3,2,Var,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,2875226
Şanlıurfa,Avcılar,Rezidans,5+1,240,279,16-20,2,16,4,Yok,Merkezi,Var,Hayır,Yarı Eşyalı,426459
İstanbul,Çankaya,Müstakil Ev,4+1,139,170,30+,Bahçe Katı,1,5,Yok,Klima,Var,Hayır,Yarı Eşyalı,2094690
Konya,Eminönü,Villa,1+0,430,481,30+,Bahçe Katı,2,1,Var,Doğalgaz,Yok,Hayır,Eşyasız,1796579
Adana,Bağcılar,Müstakil Ev,4+2,224,281,26-30,Bahçe Katı,3,1,Yok,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,1336842
Diyarbakır,Silivri,Tripleks,2+1,235,262,26-30,3,12,3,Yok,Kombi,Var,Hayır,Yarı Eşyalı,729765
Denizli,Üsküdar,Rezidans,1+1,245,302,21-25,6,1,3,Yok,Kombi,Yok,Hayır,Eşyasız,665568
İzmir,Beşiktaş,Müstakil Ev,1+1,249,312,30+,Bahçe Katı,3,5,Var,Yerden Isıtma,Kapalı Otopark,Evet,Yarı Eşyalı,1781447
Denizli,Çatalca,Tripleks,2+1,334,396,16-20,6,8,4,Yok,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,1357477
Samsun,Fatih,Villa,5+1,492,638,16-20,Bahçe Katı,2,4,Yok,Kombi,Yok,Evet,Eşyasız,1775812
Adana,Beylikdüzü,Daire,1+1,63,70,6-10,5,15,5,Var,Klima,Var,Evet,Eşyasız,653105
Gaziantep,Çankaya,Dubleks,5+1,210,247,0-5,6,8,1,Yok,Doğalgaz,Kapalı Otopark,Evet,Eşyalı,789841
Konya,Çatalca,Villa,5+2,429,524,0-5,Bahçe Katı,1,3,Var,Kombi,Açık Otopark,Evet,Eşyasız,2580322
Antalya,Bakırköy,Rezidans,5+2,96,107,16-20,10,18,1,Var,Yerden Isıtma,Yok,Hayır,Eşyasız,566289
Kayseri,Bakırköy,Villa,1+1,468,606,0-5,Bahçe Katı,3,5,Var,Klima,Açık Otopark,Evet,Yarı Eşyalı,3268060
Diyarbakır,Merkez,Müstakil Ev,1+1,208,238,26-30,Bahçe Katı,3,1,Yok,Kombi,Var,Hayır,Yarı Eşyalı,624017
Denizli,Silivri,Dubleks,5+2,311,353,6-10,2,15,1,Yok,Kombi,Var,Evet,Eşyalı,1516894
Gaziantep,Beylikdüzü,Dubleks,4+1,159,198,6-10,5,12,1,Yok,Merkezi,Var,Hayır,Eşyasız,1489987
Şanlıurfa,Bahçelievler,Müstakil Ev,2+1,247,305,11-15,Bahçe Katı,3,3,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,1268374
Mersin,Pendik,Müstakil Ev,1+1,140,163,11-15,Bahçe Katı,2,4,Yok,Kombi,Açık Otopark,Hayır,Eşyasız,594505
Adana,Küçükçekmece,Dubleks,4+1,313,405,0-5,2,13,3,Var,Doğalgaz,Yok,Hayır,Eşyalı,1390974
Eskişehir,Bağcılar,Müstakil Ev,4+2,265,293,6-10,Bahçe Katı,3,4,Yok,Merkezi,Açık Otopark,Evet,Yarı Eşyalı,1293732
Adana,Büyükçekmece,Müstakil Ev,3+1,149,164,6-10,Bahçe Katı,2,5,Yok,Soba,Var,Hayır,Eşyasız,1344230
Kayseri,Pendik,Rezidans,5+2,131,147,30+,2,15,2,Yok,Doğalgaz,Kapalı Otopark,Hayır,Yarı Eşyalı,197026
Şanlıurfa,Pendik,Villa,2+1,385,462,0-5,Bahçe Katı,1,2,Var,Klima,Var,Hayır,Yarı Eşyalı,2371978
Mersin,Üsküdar,Tripleks,1+1,166,192,26-30,12,16,5,Yok,Klima,Var,Evet,Eşyasız,1073131
Eskişehir,Eminönü,Müstakil Ev,2+1,261,320,6-10,Bahçe Katı,1,4,Var,Doğalgaz,Yok,Hayır,Eşyalı,1369593
Antalya,Bağcılar,Tripleks,4+1,170,195,26-30,9,9,2,Yok,Soba,Var,Evet,Yarı Eşyalı,2766569
Eskişehir,Küçükçekmece,Rezidans,5+1,224,248,30+,1,3,1,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,841611
Eskişehir,Beylikdüzü,Müstakil Ev,4+1,243,279,30+,Bahçe Katı,3,4,Yok,Klima,Var,Evet,Eşyalı,1025246
Antalya,Ataşehir,Tripleks,2+1,230,292,11-15,12,12,4,Var,Merkezi,Var,Hayır,Eşyalı,3404992
Antalya,Üsküdar,Daire,1+0,63,81,30+,10,14,2,Var,Merkezi,Kapalı Otopark,Evet,Eşyalı,509552
Konya,Pendik,Dubleks,1+0,173,223,21-25,8,8,2,Yok,Doğalgaz,Var,Hayır,Eşyasız,888724
Eskişehir,Fatih,Müstakil Ev,1+0,147,174,11-15,Bahçe Katı,3,3,Yok,Merkezi,Var,Hayır,Eşyalı,1008211
Mersin,Pendik,Daire,4+2,172,204,21-25,5,20,5,Var,Kombi,Var,Hayır,Eşyasız,1045584
Adana,Üsküdar,Villa,4+2,456,505,0-5,Bahçe Katı,1,3,Yok,Soba,Açık Otopark,Evet,Yarı Eşyalı,6210206
Şanlıurfa,Küçükçekmece,Müstakil Ev,2+1,220,285,26-30,Bahçe Katı,2,5,Yok,Soba,Açık Otopark,Hayır,Eşyasız,769432
Eskişehir,Kadıköy,Dubleks,4+1,335,426,26-30,1,20,4,Yok,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,1524794
Diyarbakır,Küçükçekmece,Dubleks,2+1,324,372,21-25,12,4,2,Var,Klima,Kapalı Otopark,Hayır,Eşyalı,993300
Mersin,Küçükçekmece,Dubleks,1+0,330,372,6-10,9,11,4,Yok,Merkezi,Yok,Hayır,Yarı Eşyalı,2009335
Samsun,Arnavutköy,Rezidans,4+1,236,282,6-10,5,18,3,Var,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,1680097
Adana,Beylikdüzü,Rezidans,4+1,153,172,26-30,9,13,4,Yok,Kombi,Kapalı Otopark,Evet,Eşyasız,920273
Şanlıurfa,Zeytinburnu,Rezidans,4+1,202,230,30+,9,9,5,Yok,Kombi,Var,Evet,Eşyalı,275046
Antalya,Büyükçekmece,Villa,1+0,251,296,26-30,Bahçe Katı,2,1,Var,Doğalgaz,Yok,Hayır,Yarı Eşyalı,4979538
Konya,Büyükçekmece,Villa,4+1,364,421,0-5,Bahçe Katı,1,5,Var,Soba,Var,Evet,Eşyasız,4326458
Şanlıurfa,Çankaya,Dubleks,5+2,197,253,30+,15,10,1,Var,Merkezi,Var,Hayır,Eşyasız,447219
Mersin,Fatih,Villa,5+2,339,385,0-5,Bahçe Katı,2,2,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyalı,4970868
Kayseri,Silivri,Villa,2+1,407,515,21-25,Bahçe Katı,2,1,Yok,Yerden Isıtma,Var,Evet,Eşyalı,2397780
İstanbul,Maltepe,Dubleks,3+1,264,330,11-15,5,19,5,Var,Merkezi,Kapalı Otopark,Evet,Eşyalı,6831181
İzmir,Bahçelievler,Rezidans,4+1,110,135,11-15,6,20,2,Var,Kombi,Açık Otopark,Evet,Eşyasız,1729773
Gaziantep,Çatalca,Tripleks,5+2,343,414,26-30,14,7,2,Var,Soba,Açık Otopark,Hayır,Eşyalı,1859849
Denizli,Beylikdüzü,Tripleks,3+1,296,357,6-10,6,17,4,Var,Yerden Isıtma,Yok,Hayır,Eşyalı,2371430
İstanbul,Zeytinburnu,Villa,4+2,433,525,21-25,Bahçe Katı,2,3,Var,Klima,Kapalı Otopark,Evet,Yarı Eşyalı,6240828
Gaziantep,Bağcılar,Rezidans,1+1,218,283,0-5,15,16,1,Yok,Klima,Yok,Evet,Yarı Eşyalı,2245107
Gaziantep,Bağcılar,Dubleks,5+2,246,289,26-30,11,18,2,Yok,Doğalgaz,Yok,Hayır,Yarı Eşyalı,597022
Denizli,Merkez,Daire,4+1,169,208,21-25,7,18,4,Var,Kombi,Açık Otopark,Hayır,Eşyalı,473558
Diyarbakır,Kadıköy,Daire,4+2,179,224,0-5,4,7,1,Var,Soba,Var,Hayır,Yarı Eşyalı,1059518
Antalya,Arnavutköy,Daire,4+2,168,192,6-10,13,2,2,Yok,Kombi,Kapalı Otopark,Hayır,Eşyalı,1651136
Eskişehir,Eminönü,Villa,4+2,353,407,21-25,Bahçe Katı,3,2,Yok,Soba,Açık Otopark,Evet,Eşyasız,3473702
Samsun,Eminönü,Müstakil Ev,4+2,224,253,16-20,Bahçe Katı,1,5,Yok,Kombi,Yok,Hayır,Yarı Eşyalı,745051
İstanbul,Beylikdüzü,Dubleks,4+2,292,352,16-20,4,9,2,Yok,Yerden Isıtma,Var,Hayır,Eşyasız,3311885
Antalya,Çankaya,Müstakil Ev,4+2,292,356,0-5,Bahçe Katı,1,2,Var,Klima,Yok,Hayır,Eşyasız,7336250
Şanlıurfa,Beyoğlu,Rezidans,1+1,202,259,26-30,10,7,4,Var,Soba,Kapalı Otopark,Hayır,Eşyasız,473568
Bursa,Maltepe,Müstakil Ev,5+2,239,267,26-30,Bahçe Katı,2,3,Var,Merkezi,Kapalı Otopark,Hayır,Eşyalı,1499076
İzmir,Merkez,Müstakil Ev,4+2,195,220,11-15,Bahçe Katı,1,4,Var,Klima,Kapalı Otopark,Hayır,Eşyasız,3899410
Konya,Zeytinburnu,Villa,5+1,286,322,21-25,Bahçe Katı,2,2,Var,Soba,Var,Evet,Yarı Eşyalı,877716
İzmir,Büyükçekmece,Villa,1+1,277,305,21-25,Bahçe Katı,2,3,Var,Soba,Açık Otopark,Hayır,Eşyalı,1735400
İstanbul,Merkez,Tripleks,4+1,287,371,0-5,9,14,2,Var,Doğalgaz,Yok,Evet,Eşyalı,8510069
Adana,Maltepe,Dubleks,1+1,245,316,16-20,10,8,2,Yok,Yerden Isıtma,Var,Evet,Eşyalı,1409749
Konya,Çankaya,Rezidans,1+0,123,137,30+,7,11,5,Var,Soba,Var,Evet,Eşyalı,603392
Kayseri,Fatih,Müstakil Ev,1+0,139,171,11-15,Bahçe Katı,3,5,Var,Kombi,Kapalı Otopark,Evet,Eşyalı,926042
Diyarbakır,Bahçelievler,Daire,4+1,150,181,21-25,14,13,5,Yok,Klima,Yok,Evet,Yarı Eşyalı,583132
Ankara,Bakırköy,Villa,1+1,374,456,21-25,Bahçe Katı,3,4,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,2642039
Gaziantep,Bakırköy,Villa,4+2,243,304,11-15,Bahçe Katı,1,1,Var,Merkezi,Yok,Hayır,Yarı Eşyalı,2048619
Gaziantep,Ataşehir,Müstakil Ev,1+1,143,157,11-15,Bahçe Katı,2,3,Yok,Doğalgaz,Yok,Evet,Eşyalı,859318
Mersin,Bakırköy,Daire,1+0,50,58,0-5,10,20,3,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,454013
Mersin,Kartal,Tripleks,2+1,325,382,6-10,5,10,3,Yok,Kombi,Var,Evet,Eşyasız,2166679
Samsun,Beşiktaş,Müstakil Ev,4+1,183,227,16-20,Bahçe Katı,3,5,Var,Klima,Var,Evet,Eşyasız,551046
Denizli,Küçükçekmece,Dubleks,5+1,262,305,30+,14,20,2,Yok,Merkezi,Yok,Hayır,Eşyasız,507477
Adana,Pendik,Rezidans,5+2,227,285,11-15,7,9,4,Yok,Doğalgaz,Yok,Evet,Yarı Eşyalı,1671612
Diyarbakır,Zeytinburnu,Rezidans,3+1,192,241,30+,12,3,4,Yok,Kombi,Kapalı Otopark,Evet,Eşyasız,616035
Samsun,Bahçelievler,Daire,5+2,256,306,16-20,9,17,4,Var,Merkezi,Var,Evet,Eşyalı,1377108
Eskişehir,Küçükçekmece,Daire,4+2,188,219,30+,7,4,1,Var,Merkezi,Yok,Evet,Eşyasız,549063
Eskişehir,Avcılar,Rezidans,2+1,168,218,16-20,2,10,4,Var,Doğalgaz,Yok,Hayır,Eşyasız,755773
Mersin,Fatih,Müstakil Ev,5+2,144,171,26-30,Bahçe Katı,2,3,Var,Merkezi,Var,Evet,Eşyalı,1214406
Eskişehir,Şişli,Rezidans,3+1,212,240,6-10,6,18,4,Yok,Kombi,Açık Otopark,Evet,Eşyalı,1587216
İstanbul,Arnavutköy,Tripleks,3+1,265,322,16-20,1,7,2,Yok,Yerden Isıtma,Var,Evet,Yarı Eşyalı,3715119
Konya,Kadıköy,Müstakil Ev,5+2,255,329,11-15,Bahçe Katı,3,4,Yok,Soba,Var,Hayır,Eşyasız,2078949
Denizli,Silivri,Rezidans,4+1,237,288,26-30,3,11,1,Var,Merkezi,Var,Evet,Eşyasız,1058417
Gaziantep,Küçükçekmece,Villa,4+2,416,473,26-30,Bahçe Katı,3,2,Var,Klima,Kapalı Otopark,Evet,Eşyalı,1733881
İstanbul,Bağcılar,Daire,5+2,197,224,16-20,9,17,4,Yok,Yerden Isıtma,Açık Otopark,Hayır,Yarı Eşyalı,3940990
Ankara,Avcılar,Daire,3+1,118,130,6-10,9,10,2,Yok,Soba,Açık Otopark,Evet,Yarı Eşyalı,740173
Denizli,Bağcılar,Tripleks,1+0,344,427,21-25,4,14,1,Var,Merkezi,Var,Hayır,Eşyasız,1357072
Konya,Kadıköy,Villa,3+1,379,482,21-25,Bahçe Katı,3,4,Var,Soba,Yok,Evet,Eşyalı,2930450
Mersin,Maltepe,Tripleks,2+1,232,300,11-15,5,19,3,Var,Kombi,Açık Otopark,Evet,Eşyasız,2331162
Denizli,Üsküdar,Villa,2+1,364,460,30+,Bahçe Katı,3,4,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,1311235
Şanlıurfa,Beşiktaş,Dubleks,4+1,327,420,11-15,8,16,3,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,1426112
Ankara,Beylikdüzü,Dubleks,3+1,259,327,16-20,5,11,3,Yok,Soba,Yok,Hayır,Eşyasız,3283418
İstanbul,Kadıköy,Rezidans,5+2,84,94,30+,3,15,4,Var,Klima,Yok,Evet,Yarı Eşyalı,878009
Şanlıurfa,Maltepe,Daire,5+1,212,236,26-30,15,6,1,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,588917
İstanbul,Beyoğlu,Dubleks,1+1,183,223,21-25,11,15,1,Var,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,3885141
Antalya,Bahçelievler,Daire,1+1,51,59,11-15,3,13,2,Var,Doğalgaz,Var,Evet,Eşyasız,578484
Diyarbakır,Üsküdar,Dubleks,5+2,205,229,0-5,3,4,5,Yok,Merkezi,Açık Otopark,Hayır,Eşyalı,825199
Antalya,Beylikdüzü,Tripleks,4+1,349,449,0-5,14,10,2,Var,Yerden Isıtma,Açık Otopark,Hayır,Yarı Eşyalı,3836274
